a        | 啊  | Particle                       → Ahhh, Oh, Aha
du       | 都  | All                            → Jiangdu, Jiaodou|jiaodu, Jindudajiudian
du       | 睹  | See                            → Witness, Thinking, Obvious
du       | 笃  | Sincere                        → Wumudu, Luqingdu, Guducheng
du       | 渎  | River                          → Yandu, Hengdu, Neglect
du       | 镀  | Coat                           → Gold-plated, Nickel
du       | 犊  | Calf                           → [无建议, 可用首字母: FGHIJKLNOQTUVWXYZ]
duan     | 短  | Short                          → Rectify, Temporary, Weakness
duan     | 锻  | Forge                          → Die, Cold, Duanzaochang
duan     | 缎  | Silk                           → [无建议, 可用首字母: ACDGHIJKMNOQRTUVWXYZ]
duan     | 煅  | Forge                          → Calcination
dun      | 盾  | Shield                         → Backing, Enemy-Related, Internal
dun      | 敦  | Sincere                        → Liechtenstein, Jiekelundun, Honest
dun      | 沌  | Muddled                        → Hunduntianshen
dun      | 钝  | Dull                           → Obtuse, Lu
dun      | 墩  | Mound                          → Yandun, Yuandun, Qiaodun
dun      | 炖  | Stew                           → Xiaojidunmogu, Braised
dun      | 盹  | Doze                           → [无建议, 可用首字母: ABEGHIJKLNOQRUVWXYZ]
dun      | 囤  | Store                          → Hoard, Hoarding
duo      | 多  | Many                           → Weiduoliao, Duoduo, Dolian
duo      | 躲  | Hide                           → Dodge, Avoid
duo      | 朵  | Flower                         → What, Ear, Ear
duo      | 夺  | Seize                          → Race, Deprive, Recover
duo      | 堕  | Fall                           → Degenerate, Willing
duo      | 哆  | Tremble                        → Vitamin
duo      | 跺  | Tap                            → [无建议, 可用首字母: ADEGJKNOQRUVWXYZ]
duo      | 踱  | Stroll                         → [无建议, 可用首字母: ADEGJKNOQRUVWXYZ]
duo      | 舵  | Helm                           → Rudder
duo      | 咄  | Scold                          → [无建议, 可用首字母: ADEGJKNOQRUVWXYZ]
duo      | 度  | Measure                        → Octave, Assessment, Republic
duo      | 垛  | Pile                           → Rampart, Duozi
duo      | 掇  | Pick                           → [无建议, 可用首字母: ADEGJKNOQRUVWXYZ]
e        | 饿  | Hungry                         → [无建议, 可用首字母: IKNOQTUVWXZ]
e        | 愕  | Shocked                        → [无建议, 可用首字母: IKNOQTUVWXZ]
e        | 鹅  | Goose                          → White, White, Xiaotianebinguan
e        | 噩  | Bad                            → Nightmare
e        | 娥  | Beautiful                      → Wangyue, Wangxuee, Kuaeshi
e        | 鄂  | Hubei                          → Ordos, Ob, Ordos
e        | 遏  | Stop                           → [无建议, 可用首字母: IKNOQTUVWXZ]
e        | 扼  | Grasp                          → [无建议, 可用首字母: IKNOQTUVWXZ]
e        | 鳄  | Crocodile                      → [无建议, 可用首字母: IKNOQTUVWXZ]
e        | 婀  | Graceful                       → Zhangenuo
e        | 阿  | Prefix                         → Zhangasheng, Kelisitingakuilaila, Oman
e        | 阏  | Block                          → Wife
e        | 锷  | Blade                          → Tsai, Zhoue
e        | 萼  | Calyx                          → Zhenge, Tongetang
e        | 谔  | Straightforward                → Wange
e        | 垩  | Chalk                          → [无建议, 可用首字母: IKNOQTUVWXZ]
e        | 腭  | Palate                         → [无建议, 可用首字母: IKNOQTUVWXZ]
er       | 耳  | Ear                            → Hermes, Listen, Germanic
er       | 洱  | Erhai Lake                     → Pu-erh
fa       | 法  | Law                            → Judicial, Burkina, Faan
fa       | 乏  | Lack                           → Dry, Bland, Fatigue
fan      | 翻  | Turn                           → English, Open, Overthrow
fan      | 反  | Reverse                        → Incite, Decontrol, Dislike
fan      | 饭  | Rice                           → Lunch, Jinlingfandian, Wine
fan      | 烦  | Tired                          → Pedantic, Worried, Upset
fan      | 凡  | All                            → Ordinary, Whatever, Palace
fan      | 番  | Foreign                        → Panyuqu, Double, Western
fan      | 返  | Return                         → Difficult, Gone, One-way
fan      | 泛  | Float                          → Vague, General, Glazing
fan      | 帆  | Sail                           → Zhaoyifan, Yangfan, Xufan
fan      | 贩  | Sell                           → Yufantouzi, Drug, Peddlers
fan      | 樊  | Fence                          → Xiangfan, Zhufan
fan      | 藩  | Fence                          → Han, Jinrongfan, Zhaofan
fan      | 蕃  | Foreign                        → Yanshifan, Lifan, Libifan
fan      | 幡  | Flag                           → [无建议, 可用首字母: DEGHIJKLOPQUVWXYZ]
fan      | 矾  | Alum                           → Green
fang     | 防  | Defend                         → Antifreeze, Anti-slip, Chemical
fang     | 方  | Direction                      → Which, Wufangwulao, Traditional
fang     | 芳  | Fragrant                       → Meiyanfang, Zhangyuanfang, Qifang
fang     | 肪  | Fat                            → Adipose
fei      | 飞  | Fly                            → Airport, Tianpengfei, Running
fei      | 费  | Cost                           → Insurance, Application, Toll
fei      | 菲  | Humble                         → Xiefeier, Qiaoajinfeinikesi, Aifeier
fei      | 妃  | Concubine                      → Zhuangfei, Guofeili, Qifei
fei      | 肥  | Fat                            → Obese, Thickening, Green
fei      | 啡  | Coffee                         → [无建议, 可用首字母: AGIKOQRTUVXYZ]
fei      | 匪  | Bandit                         → [无建议, 可用首字母: AGIKOQRTUVXYZ]
fei      | 沸  | Boil                           → Uproarious, Zeolite
fei      | 绯  | Crimson                        → Romance
fei      | 扉  | Door                           → Title, Gate
fei      | 吠  | Bark                           → Vedas
fei      | 诽  | Defame                         → [无建议, 可用首字母: AGIKOQRTUVXYZ]
fei      | 蜚  | Fly                            → Internationally
fei      | 狒  | Baboon                         → [无建议, 可用首字母: AGIKOQRTUVXYZ]
fei      | 腓  | Calf                           → [无建议, 可用首字母: AGIKOQRTUVXYZ]
fei      | 悱  | Hesitant                       → [无建议, 可用首字母: AGIKOQRTUVXYZ]
fei      | 鲱  | Herring                        → [无建议, 可用首字母: AGIKOQRTUVXYZ]
fen      | 分  | Part                           → Clear, Criminal, Cubic
fen      | 份  | Portion                        → January, Which, Group
fen      | 奋  | Strive                         → Zoutaofen, Extremely, United
fen      | 愤  | Angry                          → Resentment, Resentful, Work
fen      | 粉  | Flour                          → Lotus, Rouge, Chalk
fen      | 芬  | Scent                          → Zhaoyufen, Wushifen, Liangdingfen
fen      | 忿  | Anger                          → [无建议, 可用首字母: CEGHJKLOQRUVWXYZ]
fen      | 汾  | Fen River                      → Xiangfen, Xiangfenzaoxiangbei, Linfenshi
fen      | 酚  | Phenol                         → O-benzoquinone
feng     | 封  | Seal                           → Jifeng, Feudalism, Fiefdom
feng     | 凤  | Phoenix                        → Fenghuangshanzhuang, Hujiafeng, Niefengzhi
feng     | 峰  | Peak                           → Chenglingfeng, Dangerous, Zhuxiaofeng
feng     | 疯  | Mad                            → Insane, Grow, Crazy
feng     | 枫  | Maple                          → Fenghua, Caofeng, Fengshuping
feng     | 冯  | Surname                        → Fengdong, Feng, Fengyongqiang
feng     | 缝  | Sew                            → Like, Darn, Tailor
feng     | 逢  | Meet                           → Time, Fengze, Reunion
feng     | 讽  | Mock                           → Criticizing, Fengci, Cold
feng     | 蜂  | Bee                            → Queen, Zengguanfeng, Red-eyed
feng     | 烽  | Beacon                         → Xifengjizhongyingjiuzhi, Fengsui
feng     | 俸  | Salary                         → [无建议, 可用首字母: CDFGHIJKLNQRTUVXYZ]
fu       | 服  | Wear                           → Quality, Quality, Kimono
fu       | 夫  | Man                            → Zhangfuren, Zhushifu, Khabarovsk
fu       | 复  | Repeat                         → Yan, Zhangtianfu, Kangfuzhongxin
fu       | 福  | Fortune                        → Yaofu, Yongfu, Xingfutun
fu       | 府  | Mansion                        → Qing, Xuefuyuan, Yufuzuoyoupuxie
fu       | 副  | Deputy                         → [无建议, 可用首字母: KQUXYZ]
fu       | 负  | Owe                            → Xiongfuchu, unbearable
fu       | 付  | Pay                            → Xian
fu       | 富  | Rich                           → Kuaidafu, Zhelifumeizi, Xinfu
fu       | 妇  | Wife                           → Young, Known, Young
fu       | 附  | Attach                         → [无建议, 可用首字母: KQUXYZ]
fu       | 伏  | Submit                         → Kneel, Qifu, Qifumumo
fu       | 傅  | Tutor                          → Xufulin
fu       | 浮  | Float                          → Qijifututa
fu       | 扶  | Help                           → Youfufeng
fu       | 抚  | Stroke                         → [无建议, 可用首字母: KQUXYZ]
fu       | 符  | Symbol                         → Zhangfu, Qingfu, Quarter
